name_en,name_zh,description_en,description_zh,detailed_intro_en,detailed_intro_zh,official_url,logo_url,category_id,pricing_type,tags_en,tags_zh,subtags_en,subtags_zh,is_featured,view_count
ChatGPT,ChatGPT,The pioneer of the AI era,AI时代的开创者,"ChatGPT is an advanced AI language model developed by OpenAI. Capable of understanding and generating human-like text, it excels at natural conversation, creative writing, coding assistance, and problem-solving.",ChatGPT 是由 OpenAI 开发的先进人工智能语言模型。它具备强大的自然语言处理能力，擅长流畅对话、文案创作、代码编写及逻辑推理，能高效辅助用户解决各类复杂问题。,https://chatgpt.com/,https://upload.wikimedia.org/wikipedia/commons/0/04/ChatGPT_logo.svg,47b6fa04-1f21-476d-9a2b-28b732aacc73,free,[],[],"[""Top Picks""]","[""最新最强""]",false,0
Gemini,Gemini,Google's most capable multimodal AI,Google 最强的多模态 AI 模型,"Gemini is Google's most advanced AI model, built from the ground up to be multimodal. It can generalize and seamlessly understand, operate across, and combine different types of information including text, code, audio, image, and video.",Gemini 是 Google 打造的原生多模态 AI 模型。它能够流畅地理解、操作和组合包括文本、代码、音频、图像和视频在内的多种信息类型，是谷歌生态系统的核心 AI 引擎。,https://gemini.google.com/,https://upload.wikimedia.org/wikipedia/commons/8/8a/Google_Gemini_logo.svg,47b6fa04-1f21-476d-9a2b-28b732aacc73,freemium,[],[],"[""Top Picks""]","[""最新最强""]",false,0
DeepSeek,DeepSeek,Advanced open-source LLM specializing in coding and math,擅长代码与数学的开源大模型,"DeepSeek (DeepSeek-V3) is a powerful open-source large language model known for its exceptional performance in coding, mathematics, and reasoning tasks. It offers a cost-effective and high-performance alternative to proprietary models.",DeepSeek（深度求索）是一款领先的开源大语言模型，以其在代码编写、数学推导和逻辑推理方面的卓越性能而闻名。它为开发者和企业提供了极具性价比的高性能 AI 解决方案。,https://chat.deepseek.com/,https://logo.clearbit.com/deepseek.com,47b6fa04-1f21-476d-9a2b-28b732aacc73,freemium,[],[],"[""Chinese""]","[""中文""]",false,0
Qwen,Qwen,Alibaba's comprehensive large model family,阿里巴巴通义千问大模型,"Qwen (Tongyi Qianwen) is a comprehensive suite of large language models developed by Alibaba Cloud. It demonstrates strong capabilities in understanding both English and Chinese, enabling complex interactions, content creation, and enterprise-grade applications.",Qwen（通义千问）是阿里云研发的超大规模语言模型系列。它具备强大的中英文双语理解能力，能够进行多轮对话、文案创作和复杂指令执行，广泛应用于企业级服务和开发者生态。,https://tongyi.aliyun.com/,https://logo.clearbit.com/aliyun.com,47b6fa04-1f21-476d-9a2b-28b732aacc73,freemium,[],[],"[""Chinese""]","[""中文""]",false,0
Cursor,Cursor,The AI-first code editor,专为 AI 编程打造的编辑器,"Cursor is a fork of VS Code designed for pair programming with AI. It integrates powerful LLMs directly into the editor, allowing developers to generate code, fix bugs, and refactor entire files using natural language commands.",Cursor 是一款基于 VS Code 二次开发的 AI 原生代码编辑器。它将大模型深度集成到开发环境中，支持通过自然语言生成代码、修复 Bug 和重构文件，重新定义了人机结对编程的体验。,https://www.cursor.com/,https://logo.clearbit.com/cursor.com,472b580b-2e4b-4a29-8cb0-2abf2726fc0a,freemium,[],[],"[""Coding""]","[""写代码""]",false,0
Codex,Codex,The engine behind GitHub Copilot,GitHub Copilot 的核心动力,"OpenAI Codex is an AI model that translates natural language to code. While no longer available as a standalone public API, it is the foundational technology powering GitHub Copilot, assisting millions of developers in writing code faster.",OpenAI Codex 是一款能将自然语言转换为代码的 AI 模型。虽然它不再作为独立产品提供，但它是 GitHub Copilot 的核心技术底座，每天帮助全球数百万开发者更高效地编写和理解代码。,https://openai.com/index/openai-codex/,https://logo.clearbit.com/openai.com,472b580b-2e4b-4a29-8cb0-2abf2726fc0a,paid,[],[],"[""Coding""]","[""写代码""]",false,0
Claude,Claude,Anthropic's safe and capable AI assistant,Anthropic 开发的安全高效 AI,"Claude is a next-generation AI assistant built by Anthropic with a focus on constitutional AI and safety. It excels at complex reasoning, coding, and handling large context windows, making it a favorite for analyzing long documents and codebases.",Claude 是由 Anthropic 开发的新一代 AI 助手，以安全性和“宪法级 AI”为核心设计理念。它在复杂推理、代码编写和处理超长文本上下文方面表现优异，非常适合深度分析和开发任务。,https://claude.ai/,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Anthropic_logo.svg/512px-Anthropic_logo.svg.png,472b580b-2e4b-4a29-8cb0-2abf2726fc0a,freemium,[],[],"[""Coding""]","[""写代码""]",false,0
v0,v0,Generative UI system by Vercel,Vercel 推出的生成式 UI 工具,v0 is a generative user interface system by Vercel. It allows developers to generate copy-and-paste friendly React code and Tailwind CSS styling simply by describing the desired interface in natural language.,v0 是 Vercel 推出的生成式 UI 系统。开发者只需通过自然语言描述界面需求，v0 即可生成基于 React 和 Tailwind CSS 的高质量代码，支持一键复制即用，极大地加速了前端开发流程。,https://v0.dev/,https://logo.clearbit.com/v0.dev,472b580b-2e4b-4a29-8cb0-2abf2726fc0a,freemium,[],[],"[""UI Design""]","[""画前端""]",false,0
Stich,Stich,Google's AI tool for rapid UI prototyping,Google 的 AI 界面设计原型工具,"Stich (Google Stitch) is an AI-powered tool from Google Labs that transforms text prompts or sketches into functional user interface designs and frontend code, bridging the gap between design and development.",Stich 是 Google Labs 推出的一款实验性 AI 工具，能够将文本提示或手绘草图瞬间转化为可用的用户界面设计和前端代码，旨在无缝连接设计创意与开发落地。,https://stitch.withgoogle.com/,https://logo.clearbit.com/google.com,472b580b-2e4b-4a29-8cb0-2abf2726fc0a,free,[],[],"[""UI Design""]","[""画前端""]",false,0
Vercel,Vercel,The frontend cloud platform,现代前端云平台,"Vercel is a cloud platform for static sites and serverless functions that fits perfectly with your workflow. It integrates AI SDKs and templates, enabling developers to deploy AI-powered applications instantly and scale effortlessly.",Vercel 是一个面向静态网站和无服务器函数的云平台，提供极致的开发体验。它深度集成了 AI SDK 和丰富的应用模版，帮助开发者快速构建、部署并轻松扩展 AI 驱动的现代化应用。,https://vercel.com/,https://logo.clearbit.com/vercel.com,472b580b-2e4b-4a29-8cb0-2abf2726fc0a,freemium,[],[],"[""Templates"",""Deployment""]","[""找模版"",""部署""]",false,0
Figma,Figma,Collaborative interface design tool with AI,集成 AI 功能的协作设计工具,"Figma is the leading collaborative interface design tool. With new AI features like 'Make Designs', it helps teams ideate, design, and prototype faster, while offering plugins that can convert designs directly into code.",Figma 是全球领先的协作界面设计工具。通过引入最新的 AI 功能，它能辅助团队快速生成设计概念和原型，并结合丰富的插件生态，实现从设计稿到代码的无缝转换。,https://www.figma.com/,https://logo.clearbit.com/figma.com,472b580b-2e4b-4a29-8cb0-2abf2726fc0a,freemium,[],[],"[""Templates""]","[""找模版""]",false,0
Supabase,Supabase,The open source Firebase alternative,开源的 Firebase 替代方案,"Supabase is an open-source backend-as-a-service platform. It provides a Postgres database, authentication, instant APIs, and edge functions, along with Vector capabilities designed specifically for building AI applications.",Supabase 是一个开源的后端即服务（BaaS）平台。它提供 Postgres 数据库、身份验证、即时 API 和边缘函数，并内置了专为 AI 应用设计的向量数据库功能，是构建现代 AI 应用的理想后端。,https://supabase.com/,https://logo.clearbit.com/supabase.com,472b580b-2e4b-4a29-8cb0-2abf2726fc0a,freemium,[],[],"[""Database""]","[""数据库""]",false,0
Nano Banana,Nano Banana,Google's viral high-speed image model,Google 爆火的极速 AI 绘图模型,"Nano Banana (Gemini 2.5 Flash Image) is Google's breakout image generation model, known for its incredible speed and viral popularity. It allows for instant visual creation and has become a benchmark for consumer AI image tools.",Nano Banana（即 Gemini 2.5 Flash Image）是 Google 推出的现象级图像生成模型。它以极快的生成速度和优秀的图像质量风靡全球，成为了新一代 AI 绘图工具的代名词。,https://deepmind.google/models/gemini-image/,https://upload.wikimedia.org/wikipedia/commons/8/8a/Google_Gemini_logo.svg,57e07ebc-e3ee-4358-911a-59eb71de38e4,freemium,[],[],"[""Fast Gen""]","[""高速生图""]",false,0
